mapid	packages
richard_vogg_2021_01	ggplot2,tidyverse,ggrepel,ggtext,sysfonts,showtext
richard_vogg_2021_02	ggplot2,tidyverse,sf,ggfx,sysfonts,showtext,maps
richard_vogg_2021_03	ggplot2,tidyverse,sf,patchwork,sysfonts,showtext,rnaturalearth,rmapshaper
VictimOfMaths_2020_01	tidyverse,ggplot2,stringr,sf,maptools,curl,readxl,spatstat,paletteer,showtext,arrow
VictimOfMaths_2020_02	tidyverse,curl,sf,rmapshaper,paletteer,showtext,ggplot2
VictimOfMaths_2020_03	tidyverse,ggplot2,paletteer,sf,showtext
VictimOfMaths_2020_04	tidyverse,ggplot2,ggtern,curl,readxl,parlitools,tricolors
VictimOfMaths_2020_05	tidyverse,ggplot2,curl,readxl,sf,paletteer,showtext
VictimOfMaths_2020_06	tidyverse,ggplot2,paletteer,rnaturalearth,sf,countrycode
VictimOfMaths_2020_08	tidyverse,curl,sf,showtext,ggplot2
VictimOfMaths_2020_09	tidyverse,ggplot2,sf,paletteer,showtext
VictimOfMaths_2020_15	tidyverse,ggplot2,curl,sf,ggmap,osmdata,raster
VictimOfMaths_2020_18	tidyverse,ggplot2,sf,ggtext,showtext
VictimOfMaths_2020_19	tidyverse,ggplot2,stringr,sf,curl,readxl,paletteer,showtext,arrow
VictimOfMaths_2020_22	tidyverse,ggplot2,cowplot,ggridges,geojsonio,broom,sf,scales,curl,rmapshaper,gganimate,paletteer,ragg,extrafont
VictimOfMaths_2020_23	tidyverse,ggplot2,sf,curl
VictimOfMaths_2020_27	tidyverse,ggplot2,curl,sf,rnaturalearth,showtext
VictimOfMaths_2020_29	tidyverse,ggplot2,sf,rnaturalearth,ggtext
VictimOfMaths_2020_30	rnaturalearth,sf,ggplot2,ggpattern,nngeo,showtext
VictimOfMaths_2021_01	tidyverse,sf,ragg,extrafont,ggplot2,ggfx
VictimOfMaths_2021_02	sf,ragg,extrafont,tidyverse,ggplot2,paletteer
VictimOfMaths_2021_03	sf,ragg,extrafont,tidyverse,ggplot2,curl,xml2,rvest,ggforce
VictimOfMaths_2021_04	curl,readxl,tidyverse,sf,ragg,extrafont
VictimOfMaths_2021_05	sf,ragg,extrafont,tidyverse,ggplot2,osmdata,ggtext
VictimOfMaths_2021_06	sf,ragg,extrafont,ggfx,tidyverse,ggplot2,rnaturalearth,cowplot,magick
